SampleName,Easting,Northing,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Tl_ppm,Pb_ppm,Bi_ppm,Th_ppm,U_ppm,P_ppm,Ti_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,As_ppm,Se_ppm,Mo_ppm,Ag_ppm,Cd_ppm,Sn_ppm,Sb_ppm,W_ppm,Hg_ppm
AS1-1,"554937","6833041","10.98","0.62",25.710000000000001,193.900000000000006,"52.05",250.520000000000010,18.430000000000000,57.430000000000000,11.900000000000000,"0.38",631.080000000000041,13.330000000000000,28.570000000000000,3.840000000000000,16.090000000000000,3.720000000000000,1.770000000000000,3.660000000000000,0.540000000000000,3.270000000000000,0.720000000000000,2.160000000000000,0.280000000000000,1.920000000000000,0.270000000000000,1.590000000000000,0.680000000000000,"0.32",1.990000000000000,<d/l,0.710000000000000,"0.14","435.02",8608.760000000000218,26.710000000000001,37.299999999999997,117.359999999999999,2.350000000000000,46.729999999999997,"0.21","0.92","0.36","0.14","0.04",2.700000000000000,"0.19",<d/l,<d/l
AS1-2,"554934","6833042","31.88","0.56",30.440000000000001,233.740000000000009,"62.75",162.479999999999990,18.859999999999999,84.799999999999997,13.800000000000001,"1.04",778.059999999999945,10.380000000000001,24.109999999999999,3.440000000000000,15.260000000000000,4.000000000000000,1.980000000000000,3.950000000000000,0.630000000000000,3.670000000000000,0.740000000000000,1.990000000000000,0.270000000000000,1.730000000000000,0.240000000000000,2.160000000000000,0.800000000000000,"0.39",2.120000000000000,"0.02",0.740000000000000,"0.15","724.63",10554.000000000000000,36.200000000000003,53.079999999999998,153.139999999999986,58.590000000000003,45.320000000000000,"0.28","1.18","0.35","0.34","0.05",3.790000000000000,"0.08",<d/l,<d/l
AS1-4,"554962","6833044","19","0.44",27.410000000000000,223.810000000000002,"70.17",312.720000000000027,45.570000000000000,85.140000000000001,13.730000000000000,"0.84",1122.319999999999936,26.570000000000000,64.629999999999995,9.039999999999999,40.320000000000000,9.770000000000000,3.320000000000000,10.180000000000000,1.540000000000000,8.400000000000000,1.680000000000000,4.660000000000000,0.550000000000000,3.370000000000000,0.460000000000000,2.430000000000000,0.810000000000000,"0.51",3.160000000000000,<d/l,1.160000000000000,"0.72","2039.94",11235.930000000000291,31.010000000000002,70.560000000000002,230.050000000000011,6.870000000000000,48.380000000000003,"5.35","2.36","0.81","0.25","0.04",2.420000000000000,"0.19","0.3",<d/l
AS1-5,"554982","6833043","31.78","0.39",35.689999999999998,234.150000000000006,"59.85",276.980000000000018,18.719999999999999,69.000000000000000,6.320000000000000,"1.31",219.830000000000013,6.460000000000000,14.350000000000000,1.920000000000000,8.029999999999999,2.260000000000000,0.730000000000000,2.880000000000000,0.510000000000000,3.270000000000000,0.700000000000000,2.170000000000000,0.320000000000000,2.070000000000000,0.300000000000000,1.880000000000000,0.310000000000000,"0.32",1.140000000000000,"0.02",1.480000000000000,"0.31","334.14",4500.439999999999600,179.110000000000014,53.649999999999999,437.180000000000007,290.500000000000000,64.870000000000005,"3.38","0.75","0.36","0.26","0.05",0.860000000000000,"0.96",<d/l,<d/l
AS1-6,"554986","6833043","33.17","0.32",33.030000000000001,233.419999999999987,"50.87",264.610000000000014,18.840000000000000,66.120000000000005,6.400000000000000,"1.16",194.710000000000008,6.660000000000000,14.830000000000000,1.970000000000000,8.380000000000001,2.460000000000000,0.740000000000000,3.000000000000000,0.510000000000000,3.360000000000000,0.740000000000000,2.190000000000000,0.310000000000000,2.070000000000000,0.290000000000000,1.810000000000000,0.330000000000000,"0.3",1.270000000000000,"0.15",1.350000000000000,"0.3","369.51",4664.829999999999927,161.639999999999986,57.250000000000000,1279.839999999999918,1511.829999999999927,65.739999999999995,"1.73","1.63","0.29","0.77","0.07",1.510000000000000,"1.43",<d/l,<d/l
AS1-7A,"554997","6836043","4.32",<d/l,22.859999999999999,150.090000000000003,"2.41",6.710000000000000,7.270000000000000,17.350000000000001,3.180000000000000,"0.69",3.310000000000000,1.760000000000000,4.180000000000000,0.600000000000000,2.790000000000000,0.900000000000000,0.370000000000000,1.260000000000000,0.220000000000000,1.430000000000000,0.340000000000000,0.960000000000000,0.150000000000000,0.880000000000000,0.140000000000000,0.690000000000000,0.090000000000000,"0.04",1.100000000000000,"0.02",0.520000000000000,"0.07","156.29",1804.440000000000055,594.789999999999964,104.040000000000006,1489.420000000000073,239.699999999999989,71.540000000000006,"5.09","0.37","0.12","0.18","0.04",2.910000000000000,"1.2","1.03",<d/l
AS1-8,"555006","6833038",<d/l,<d/l,21.770000000000000,123.069999999999993,"2.37",3.420000000000000,7.180000000000000,19.170000000000002,3.580000000000000,"0.32",4.810000000000000,2.010000000000000,4.670000000000000,0.650000000000000,3.040000000000000,0.940000000000000,0.290000000000000,1.290000000000000,0.240000000000000,1.550000000000000,0.320000000000000,1.060000000000000,0.160000000000000,0.930000000000000,0.130000000000000,0.680000000000000,0.110000000000000,<d/l,1.180000000000000,"0.04",0.440000000000000,"0.09","195.83",1708.470000000000027,674.570000000000050,109.540000000000006,1659.500000000000000,321.500000000000000,70.540000000000006,"0.73","0.87","0.05","0.15","0.03",22.340000000000000,"1.17","0.58",<d/l
AS1-9,"555014","6833044",<d/l,<d/l,20.770000000000000,118.849999999999994,"1.9",4.050000000000000,6.110000000000000,15.010000000000000,3.450000000000000,"0.29",5.030000000000000,1.670000000000000,3.800000000000000,0.560000000000000,2.510000000000000,0.870000000000000,0.290000000000000,1.050000000000000,0.190000000000000,1.310000000000000,0.300000000000000,0.930000000000000,0.150000000000000,0.850000000000000,0.120000000000000,0.550000000000000,0.100000000000000,<d/l,0.680000000000000,"0.04",0.380000000000000,"0.09","167.89",1458.259999999999991,621.629999999999995,102.739999999999995,1407.319999999999936,119.590000000000003,67.870000000000005,"0.24","0.66","0.04","0.12","0.02",0.610000000000000,"0.78","0.27",<d/l
AS1-10,"555025","6833044",<d/l,<d/l,18.219999999999999,100.469999999999999,"1.82",2.560000000000000,5.470000000000000,16.699999999999999,3.800000000000000,"0.21",3.550000000000000,1.540000000000000,3.500000000000000,0.490000000000000,2.250000000000000,0.660000000000000,0.230000000000000,0.890000000000000,0.170000000000000,1.140000000000000,0.240000000000000,0.690000000000000,0.100000000000000,0.630000000000000,0.100000000000000,0.700000000000000,0.080000000000000,<d/l,0.450000000000000,<d/l,0.500000000000000,"0.06","198.54",1337.279999999999973,817.789999999999964,111.900000000000006,1624.900000000000091,54.859999999999999,65.109999999999999,"0.25","0.44","0.06","0.08","0.02",1.320000000000000,"1.73","0.79",<d/l
AS1-11,"555071","6833039",<d/l,<d/l,15.920000000000000,82.439999999999998,"2.69",1.900000000000000,4.760000000000000,15.010000000000000,5.040000000000000,"0.32",7.830000000000000,1.510000000000000,3.410000000000000,0.520000000000000,2.320000000000000,0.700000000000000,0.220000000000000,0.860000000000000,0.160000000000000,1.110000000000000,0.240000000000000,0.730000000000000,0.150000000000000,0.630000000000000,0.100000000000000,0.620000000000000,0.090000000000000,"0.07",0.540000000000000,"0.07",0.400000000000000,"0.1","115.1",1007.919999999999959,731.940000000000055,117.310000000000002,1820.490000000000009,90.769999999999996,59.109999999999999,"0.21","0.73","0.09","0.08","0.02",5.890000000000000,"0.01",<d/l,<d/l
